Category,Sub-Category,Product ID,Product Name,Country,Region,State,City,Postal Code,Customer ID,Customer Name,Order Date,Order ID,Segment,Ship Date,Ship Mode,Year,Bottom Half,Discount,Number of Records,Outer Venn Position,Overlapping Customers,Overlapping Position,Profit,Profit Percentage,Quantity,Sales
Stationary,Binders,OFF-BI-10000632,Satellite Sectional Post Binders,United States,West,California,Los Angeles,90004,CT-11995,Carol Triggs,29/06/2018,CA-2018-137085,Consumer,6/07/2018,Standard Class,2018,1,20%,1,0,1,0,101.5794,33%,9,312.552
Stationary,Envelopes,OFF-EN-10003055,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",United States,South,North Carolina,Thomasville,27360,KB-16315,Karl Braun,6/09/2017,CA-2017-133123,Consumer,11/09/2017,Standard Class,2020,1,20%,1,0,1,0,29.985,31%,3,95.952
Stationary,Binders,OFF-BI-10001031,Pressboard Data Binders by Wilson Jones,United States,South,North Carolina,Thomasville,27360,KB-16315,Karl Braun,6/09/2017,CA-2017-133123,Consumer,11/09/2017,Standard Class,2020,1,70%,1,0,1,0,-2.4564,-77%,2,3.204
Stationary,Binders,OFF-BI-10002003,Ibico Presentation Index for Binding Systems,United States,Central,Illinois,Peoria,61604,RA-19285,Ralph Arnett,4/08/2017,US-2017-128195,Consumer,5/08/2017,First Class,2020,1,80%,1,0,1,0,-6.567,-165%,5,3.98
Stationary,Paper,OFF-PA-10003016,"Adams ""While You Were Out"" Message Pads",United States,West,California,Los Angeles,90032,YC-21895,Yoseph Carroll,12/11/2016,CA-2016-153220,Corporate,14/11/2016,First Class,2019,1,0%,1,0,1,0,7.065,45%,5,15.7
Stationary,Art,OFF-AR-10004582,BIC Brite Liner Grip Highlighters,United States,Central,Illinois,Chicago,60653,RA-19915,Russell Applegate,30/06/2015,CA-2015-123064,Consumer,2/07/2015,First Class,2018,1,20%,1,0,1,0,1.64,31%,4,5.248
Stationary,Binders,OFF-BI-10004364,Storex Dura Pro Binders,United States,East,Pennsylvania,Philadelphia,19134,CM-12160,Charles McCrossin,4/12/2018,CA-2018-156412,Consumer,8/12/2018,Standard Class,2018,1,60%,1,1,1,0.5,-4.455,-83%,3,5.346
Stationary,Paper,OFF-PA-10002246,"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",United States,West,Colorado,Englewood,80112,CS-12130,Chad Sievert,28/08/2017,US-2017-144211,Consumer,2/09/2017,Standard Class,2020,1,20%,1,0,0,0,5.6115,36%,3,15.48
Automobile,Phones,TEC-PH-10002890,AT&T 17929 Lendline Telephone,United States,West,Colorado,Englewood,80112,CS-12130,Chad Sievert,28/08/2017,US-2017-144211,Consumer,2/09/2017,Standard Class,2020,1,20%,1,0,0,0,8.1432,8%,3,108.576
Household goods,Furnishings,FUR-FU-10001475,"Contract Clock, 14"", Brown",United States,West,Washington,Seattle,98115,AJ-10795,Anthony Johnson,22/01/2017,CA-2017-138079,Corporate,28/01/2017,Standard Class,2020,1,0%,1,0,1,0,37.366,34%,5,109.9
Household goods,Furnishings,FUR-FU-10004270,"Executive Impressions 13"" Clairmont Wall Clock",United States,South,Florida,Hialeah,33012,DL-12865,Dan Lawera,15/10/2015,CA-2015-143182,Consumer,20/10/2015,Standard Class,2018,1,20%,1,0,1,0,4.0383,26%,1,15.384
Stationary,Paper,OFF-PA-10003465,Xerox 1912,United States,East,Ohio,Lancaster,43130,BE-11410,Bobby Elias,7/02/2017,CA-2017-161662,Consumer,9/02/2017,First Class,2020,1,20%,1,1,1,0.5,10.6232,35%,2,30.352
Automobile,Machines,TEC-MA-10003626,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,United States,South,Florida,Jacksonville,32216,SM-20320,Sean Miller,18/03/2015,CA-2015-145317,Home Office,23/03/2015,Standard Class,2018,1,50%,1,0,1,0,-16.426,-2%,4,821.3
Automobile,Machines,TEC-MA-10002412,Cisco TelePresence System EX90 Videoconferencing Unit,United States,South,Florida,Jacksonville,32216,SM-20320,Sean Miller,18/03/2015,CA-2015-145317,Home Office,23/03/2015,Standard Class,2018,1,50%,1,0,1,0,"-1,811.08",-8%,6,"22,638.48"
Stationary,Paper,OFF-PA-10001804,Xerox 195,United States,South,Florida,Jacksonville,32216,SM-20320,Sean Miller,18/03/2015,CA-2015-145317,Home Office,23/03/2015,Standard Class,2018,1,20%,1,0,1,0,7.4816,35%,4,21.376
Stationary,Art,OFF-AR-10003183,Avery Fluorescent Highlighter Four-Color Set,United States,South,Florida,Jacksonville,32216,SM-20320,Sean Miller,18/03/2015,CA-2015-145317,Home Office,23/03/2015,Standard Class,2018,1,20%,1,0,1,0,1.002,13%,3,8.016
Household goods,Furnishings,FUR-FU-10004270,"Executive Impressions 13"" Clairmont Wall Clock",United States,South,Florida,Jacksonville,32216,SM-20320,Sean Miller,18/03/2015,CA-2015-145317,Home Office,23/03/2015,Standard Class,2018,1,20%,1,0,1,0,8.0766,26%,2,30.768
Stationary,Fasteners,OFF-FA-10003112,Staples,United States,South,Florida,Jacksonville,32216,SM-20320,Sean Miller,18/03/2015,CA-2015-145317,Home Office,23/03/2015,Standard Class,2018,1,20%,1,0,1,0,5.9175,31%,3,18.936
Household goods,Furnishings,FUR-FU-10001986,"Dana Fluorescent Magnifying Lamp, White, 36""",United States,South,Florida,Jacksonville,32216,SM-20320,Sean Miller,18/03/2015,CA-2015-145317,Home Office,23/03/2015,Standard Class,2018,1,20%,1,0,1,0,15.294,13%,3,122.352
Stationary,Paper,OFF-PA-10002319,Xerox 1944,United States,East,Maryland,Baltimore,21215,RP-19390,Resi Pölking,24/05/2015,CA-2015-143413,Consumer,30/05/2015,Standard Class,2018,1,5%,1,1,1,0.5,56.9772,49%,3,116.28
Automobile,Accessories,TEC-AC-10002323,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,United States,East,New York,New York City,10009,JD-16015,Joy Daniels,11/07/2018,CA-2018-156818,Consumer,13/07/2018,Second Class,2018,1,5%,1,1,1,0.5,17.238,13%,6,132.6
Stationary,Supplies,OFF-SU-10001165,Acme Elite Stainless Steel Scissors,United States,West,New Mexico,Carlsbad,88220,AB-10255,Alejandro Ballentine,16/06/2018,CA-2018-155873,Home Office,21/06/2018,Standard Class,2018,1,5%,1,0,1,0,4.3368,26%,2,16.68
Stationary,Paper,OFF-PA-10001246,Xerox 215,United States,West,New Mexico,Carlsbad,88220,AB-10255,Alejandro Ballentine,16/06/2018,CA-2018-155873,Home Office,21/06/2018,Standard Class,2018,1,5%,1,0,1,0,9.3312,48%,3,19.44
Stationary,Paper,OFF-PA-10001815,Xerox 1885,United States,West,New Mexico,Carlsbad,88220,AB-10255,Alejandro Ballentine,16/06/2018,CA-2018-155873,Home Office,21/06/2018,Standard Class,2018,1,5%,1,0,1,0,92.2368,48%,4,192.16
Household goods,Furnishings,FUR-FU-10001876,"Computer Room Manger, 14""",United States,West,California,Los Angeles,90049,CC-12145,Charles Crestani,30/01/2016,CA-2016-121797,Consumer,6/02/2016,Standard Class,2019,1,0%,1,0,0,0,81.8496,36%,7,227.36
Automobile,Machines,TEC-MA-10000488,Bady BDG101FRU Card Printer,United States,West,California,Los Angeles,90049,CC-12145,Charles Crestani,30/01/2016,CA-2016-121797,Consumer,6/02/2016,Standard Class,2019,1,20%,1,0,0,0,215.9973,11%,3,"1,919.98"
Stationary,Binders,OFF-BI-10001098,Acco D-Ring Binder w/DublLock,United States,South,Florida,Jacksonville,32216,GH-14425,Gary Hwang,11/12/2016,US-2016-120572,Consumer,15/12/2016,Standard Class,2019,1,70%,1,0,0,0,-8.9796,-70%,2,12.828
Household goods,Furnishings,FUR-FU-10003577,Nu-Dell Leatherette Frames,United States,East,Ohio,Lakewood,44107,CP-12085,Cathy Prescott,9/10/2018,CA-2018-132430,Corporate,11/10/2018,First Class,2018,1,20%,1,1,1,0.5,9.1776,20%,4,45.888
Stationary,Art,OFF-AR-10002656,Sanford Liquid Accent Highlighters,United States,East,New York,Troy,12180,GM-14440,Gary McGarr,29/07/2018,CA-2018-146031,Consumer,1/08/2018,Second Class,2018,1,5%,1,1,1,0.5,22.2444,37%,9,60.12
Automobile,Phones,TEC-PH-10004531,AT&T CL2909,United States,South,North Carolina,Wilmington,28403,LC-16885,Lena Creighton,25/04/2015,CA-2015-110100,Consumer,29/04/2015,Standard Class,2018,1,20%,1,0,1,0,37.797,13%,3,302.376
Stationary,Art,OFF-AR-10003251,Prang Drawing Pencil Set,United States,West,Washington,Seattle,98105,BT-11305,Beth Thompson,1/12/2016,CA-2016-103723,Home Office,6/12/2016,Standard Class,2019,1,0%,1,0,0,0,5.56,40%,5,13.9
Automobile,Phones,TEC-PH-10000673,Plantronics Voyager Pro HD - Bluetooth Headset,United States,East,New York,New York City,10024,CP-12085,Cathy Prescott,4/12/2015,CA-2015-127187,Corporate,8/12/2015,Standard Class,2018,1,5%,1,1,1,0.5,62.3904,48%,2,129.98
Automobile,Accessories,TEC-AC-10000158,Sony 64GB Class 10 Micro SDHC R40 Memory Card,United States,South,Georgia,Columbus,31907,SC-20680,Steve Carroll,26/08/2018,CA-2018-128475,Home Office,1/09/2018,Standard Class,2018,1,5%,1,0,0,0,15.1158,21%,2,71.98
Automobile,Phones,TEC-PH-10002075,AT&T EL51110 DECT,United States,East,New York,New York City,10024,DK-13375,Dennis Kane,7/09/2015,CA-2015-100006,Consumer,13/09/2015,Standard Class,2018,1,5%,1,1,1,0.5,109.6113,29%,3,377.97
Stationary,Storage,OFF-ST-10004340,"Fellowes Mobile File Cart, Black",United States,West,California,Costa Mesa,92627,SE-20110,Sanjit Engle,21/12/2018,CA-2018-144827,Consumer,27/12/2018,Standard Class,2018,1,5%,1,0,1,0,33.5772,27%,2,124.36
Household goods,Furnishings,FUR-FU-10002759,12-1/2 Diameter Round Wall Clock,United States,Central,Texas,Houston,77095,LF-17185,Luke Foster,6/12/2015,CA-2015-110030,Consumer,8/12/2015,Second Class,2018,1,55%,1,0,1,0,-14.3856,-60%,3,23.976
Stationary,Fasteners,OFF-FA-10000585,OIC Bulk Pack Metal Binder Clips,United States,South,North Carolina,Cary,27511,ON-18715,Odella Nelson,4/11/2015,CA-2015-121286,Corporate,8/11/2015,Second Class,2018,1,20%,1,0,1,0,2.7222,33%,3,8.376
Stationary,Appliances,OFF-AP-10004859,Acco 6 Outlet Guardian Premium Surge Suppressor,United States,South,North Carolina,Cary,27511,ON-18715,Odella Nelson,4/11/2015,CA-2015-121286,Corporate,8/11/2015,Second Class,2018,1,20%,1,0,1,0,5.096,9%,5,58.24
Stationary,Storage,OFF-ST-10001558,Acco Perma 4000 Stacking Storage Drawers,United States,South,Virginia,Alexandria,22304,TB-21400,Tom Boeckenhauer,14/04/2017,CA-2017-164735,Consumer,19/04/2017,Second Class,2020,1,0%,1,0,1,0,12.18,15%,5,81.2
Stationary,Labels,OFF-LA-10004689,Avery 512,United States,West,California,Vallejo,94591,DF-13135,David Flashing,4/10/2015,CA-2015-153479,Consumer,8/10/2015,Standard Class,2018,1,5%,1,0,1,0,6.7915,47%,5,14.45
Stationary,Binders,OFF-BI-10002867,GBC Recycled Regency Composition Covers,United States,West,California,Vallejo,94591,DF-13135,David Flashing,4/10/2015,CA-2015-153479,Consumer,8/10/2015,Standard Class,2018,1,20%,1,0,1,0,31.0856,33%,2,95.648
Automobile,Phones,TEC-PH-10003811,Jabra Supreme Plus Driver Edition Headset,United States,East,Pennsylvania,Philadelphia,19120,EP-13915,Emily Phan,7/11/2018,CA-2018-149888,Consumer,13/11/2018,Standard Class,2018,1,40%,1,1,1,0.5,-71.994,-20%,5,359.97
Household goods,Tables,FUR-TA-10000849,Bevis Rectangular Conference Tables,United States,East,Pennsylvania,Philadelphia,19120,EP-13915,Emily Phan,7/11/2018,CA-2018-149888,Consumer,13/11/2018,Standard Class,2018,1,40%,1,1,1,0.5,-140.1408,-40%,4,350.352
Stationary,Binders,OFF-BI-10000848,Angle-D Ring Binders,United States,East,Ohio,Toledo,43615,SK-19990,Sally Knutson,22/12/2018,CA-2018-119193,Consumer,24/12/2018,First Class,2018,1,60%,1,1,0,0.5,-1.3128,-80%,1,1.641
Automobile,Phones,TEC-PH-10003072,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,United States,East,Ohio,Toledo,43615,SK-19990,Sally Knutson,22/12/2018,CA-2018-119193,Consumer,24/12/2018,First Class,2018,1,40%,1,1,0,0.5,94.4937,15%,7,629.958
Stationary,Art,OFF-AR-10001547,Newell 311,United States,West,Washington,Seattle,98105,FH-14350,Fred Harton,13/02/2018,CA-2018-104801,Consumer,19/02/2018,Standard Class,2018,1,5%,1,0,1,0,1.7901,27%,3,6.63
Automobile,Accessories,TEC-AC-10001838,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,United States,West,Washington,Seattle,98105,FH-14350,Fred Harton,13/02/2018,CA-2018-104801,Consumer,19/02/2018,Standard Class,2018,1,5%,1,0,1,0,343.9828,43%,4,799.96
Household goods,Furnishings,FUR-FU-10004017,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",United States,West,Washington,Seattle,98105,FH-14350,Fred Harton,13/02/2018,CA-2018-104801,Consumer,19/02/2018,Standard Class,2018,1,5%,1,0,1,0,21.506,20%,1,107.53
Automobile,Phones,TEC-PH-10002923,"Logitech B530 USB Headset - headset - Full size, Binaural",United States,East,New Jersey,Plainfield,7060,EH-13945,Eric Hoffmann,2/07/2015,CA-2015-107594,Consumer,6/07/2015,Standard Class,2018,1,5%,1,1,1,0.5,19.9746,27%,2,73.98
Stationary,Art,OFF-AR-10000716,DIXON Ticonderoga Erasable Checking Pencils,United States,East,New Jersey,Plainfield,7060,EH-13945,Eric Hoffmann,2/07/2015,CA-2015-107594,Consumer,6/07/2015,Standard Class,2018,1,5%,1,1,1,0.5,2.1762,39%,1,5.58
Stationary,Paper,OFF-PA-10000249,Easy-staple paper,United States,West,New Mexico,Las Cruces,88001,JE-15715,Joe Elijah,21/02/2016,CA-2016-129770,Consumer,23/02/2016,Second Class,2019,1,0%,1,0,1,0,23.0864,47%,4,49.12
Automobile,Phones,TEC-PH-10003691,BlackBerry Q10,United States,East,Delaware,Newark,19711,KL-16645,Ken Lonsdale,13/11/2016,CA-2016-115798,Consumer,19/11/2016,Standard Class,2019,1,0%,1,1,1,0.5,94.4925,25%,3,377.97
Stationary,Paper,OFF-PA-10001560,"Adams Telephone Message Books, 5 1/4” x 11”",United States,East,Delaware,Newark,19711,KL-16645,Ken Lonsdale,13/11/2016,CA-2016-115798,Consumer,19/11/2016,Standard Class,2019,1,0%,1,1,1,0.5,19.8716,47%,7,42.28
Household goods,Bookcases,FUR-BO-10004467,Bestar Classic Bookcase,United States,East,Delaware,Newark,19711,KL-16645,Ken Lonsdale,13/11/2016,CA-2016-115798,Consumer,19/11/2016,Standard Class,2019,1,0%,1,1,1,0.5,56.9943,19%,3,299.97
Automobile,Phones,TEC-PH-10001819,Innergie mMini Combo Duo USB Travel Charging Kit,United States,East,Delaware,Newark,19711,KL-16645,Ken Lonsdale,13/11/2016,CA-2016-115798,Consumer,19/11/2016,Standard Class,2019,1,0%,1,1,1,0.5,43.1904,48%,2,89.98
Stationary,Supplies,OFF-SU-10000157,Compact Automatic Electric Letter Opener,United States,South,Alabama,Hoover,35244,EB-13750,Edward Becker,16/04/2018,CA-2018-122707,Corporate,18/04/2018,First Class,2018,1,5%,1,0,1,0,9.5448,2%,4,477.24
Automobile,Accessories,TEC-AC-10004227,SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,United States,South,Alabama,Hoover,35244,EB-13750,Edward Becker,16/04/2018,CA-2018-122707,Corporate,18/04/2018,First Class,2018,1,5%,1,0,1,0,1.5588,6%,2,25.98
Stationary,Envelopes,OFF-EN-10003134,Staple envelope,United States,East,Ohio,Newark,43055,BD-11725,Bruce Degenhardt,25/02/2017,CA-2017-165015,Consumer,27/02/2017,Second Class,2020,1,20%,1,1,1,0.5,17.52,38%,5,46.72
Household goods,Furnishings,FUR-FU-10004671,"Executive Impressions 12"" Wall Clock",United States,West,California,San Diego,92037,MS-17530,MaryBeth Skach,4/11/2015,CA-2015-149244,Consumer,8/11/2015,Standard Class,2018,1,5%,1,0,1,0,13.4292,38%,2,35.34
Household goods,Furnishings,FUR-FU-10002253,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",United States,West,California,San Francisco,94122,SC-20770,Stewart Carmichael,20/06/2016,CA-2016-140144,Corporate,25/06/2016,Second Class,2019,1,0%,1,0,1,0,100.4796,39%,6,257.64
Automobile,Phones,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,United States,West,California,San Francisco,94122,SC-20770,Stewart Carmichael,20/06/2016,CA-2016-140144,Corporate,25/06/2016,Second Class,2019,1,20%,1,0,1,0,47.241,38%,3,125.976
Automobile,Accessories,TEC-AC-10004571,Logitech G700s Rechargeable Gaming Mouse,United States,South,North Carolina,Jacksonville,28540,FM-14380,Fred McMath,7/08/2018,CA-2018-163321,Consumer,11/08/2018,Second Class,2018,1,20%,1,0,1,0,21.9978,28%,1,79.992
Household goods,Tables,FUR-TA-10002228,"Bevis Traditional Conference Table Top, Plinth Base",United States,East,Massachusetts,Franklin,2038,KT-16480,Kean Thornton,12/05/2015,CA-2015-155887,Consumer,17/05/2015,Standard Class,2018,1,35%,1,1,1,0.5,-130.0104,-19%,3,700.056
Automobile,Accessories,TEC-AC-10004127,SanDisk Cruzer 8 GB USB Flash Drive,United States,Central,Texas,Frisco,75034,AP-10720,Anne Pryor,22/11/2016,US-2016-165449,Home Office,26/11/2016,Standard Class,2019,1,20%,1,0,1,0,-1.3584,-5%,4,27.168
Stationary,Binders,OFF-BI-10001553,SpineVue Locking Slant-D Ring Binders by Cardinal,United States,South,Florida,Tallahassee,32303,RH-19555,Ritsa Hightower,4/12/2016,CA-2016-110247,Consumer,8/12/2016,Standard Class,2019,1,70%,1,0,0,0,-6.0324,-73%,3,8.226
Household goods,Chairs,FUR-CH-10002758,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",United States,West,Washington,Seattle,98115,CS-11950,Carlos Soltero,8/06/2015,US-2015-141257,Consumer,14/06/2015,Standard Class,2018,1,20%,1,0,1,0,73.194,13%,3,585.552
Stationary,Storage,OFF-ST-10000532,Advantus Rolling Drawer Organizers,United States,West,California,Vacaville,95687,TM-21010,Tamara Manning,8/08/2015,CA-2015-154669,Consumer,11/08/2015,Second Class,2018,1,5%,1,0,1,0,110.0528,26%,11,423.28
Household goods,Chairs,FUR-CH-10000988,Hon Olson Stacker Stools,United States,West,California,Los Angeles,90008,HF-14995,Herbert Flentye,26/05/2015,CA-2015-158029,Consumer,30/05/2015,Standard Class,2018,1,20%,1,0,1,0,22.5296,10%,2,225.296
Stationary,Art,OFF-AR-10003251,Prang Drawing Pencil Set,United States,West,California,San Francisco,94122,GA-14515,George Ashbrook,17/04/2016,CA-2016-155306,Consumer,21/04/2016,Standard Class,2019,1,0%,1,0,1,0,2.224,40%,2,5.56
Automobile,Accessories,TEC-AC-10003174,Plantronics S12 Corded Telephone Headset System,United States,West,California,San Francisco,94122,GA-14515,George Ashbrook,17/04/2016,CA-2016-155306,Consumer,21/04/2016,Standard Class,2019,1,0%,1,0,1,0,129.348,40%,3,323.37
Automobile,Phones,TEC-PH-10002310,Plantronics Calisto P620-M USB Wireless Speakerphone System,United States,West,California,San Francisco,94122,GA-14515,George Ashbrook,17/04/2016,CA-2016-155306,Consumer,21/04/2016,Standard Class,2019,1,20%,1,0,1,0,68.5965,9%,5,783.96
Stationary,Appliances,OFF-AP-10002651,Hoover Upright Vacuum With Dirt Cup,United States,West,California,San Francisco,94122,GA-14515,George Ashbrook,17/04/2016,CA-2016-155306,Consumer,21/04/2016,Standard Class,2019,1,0%,1,0,1,0,419.8185,29%,5,"1,447.65"
Stationary,Paper,OFF-PA-10001184,Xerox 1903,United States,West,California,San Francisco,94122,GA-14515,George Ashbrook,17/04/2016,CA-2016-155306,Consumer,21/04/2016,Standard Class,2019,1,0%,1,0,1,0,5.8604,49%,2,11.96
Automobile,Accessories,TEC-AC-10002402,Razer Kraken PRO Over Ear PC and Music Headset,United States,East,New York,New York City,10035,ES-14020,Erica Smith,11/06/2017,CA-2017-127775,Consumer,13/06/2017,Second Class,2020,1,0%,1,1,1,0.5,71.991,30%,3,239.97
Household goods,Furnishings,FUR-FU-10004270,"Executive Impressions 13"" Clairmont Wall Clock",United States,South,Georgia,Columbus,31907,JP-16135,Julie Prescott,11/03/2017,CA-2017-146171,Home Office,15/03/2017,Standard Class,2020,1,0%,1,0,1,0,31.5372,41%,4,76.92
Stationary,Storage,OFF-ST-10001526,Iceberg Mobile Mega Data/Printer Cart,United States,South,Georgia,Columbus,31907,JP-16135,Julie Prescott,11/03/2017,CA-2017-146171,Home Office,15/03/2017,Standard Class,2020,1,0%,1,0,1,0,125.1432,26%,4,481.32
Stationary,Paper,OFF-PA-10002893,"Wirebound Service Call Books, 5 1/2"" x 4""",United States,West,Utah,Murray,84107,Dp-13240,Dean percer,26/05/2015,CA-2015-129574,Home Office,29/05/2015,First Class,2018,1,5%,1,0,1,0,23.232,48%,5,48.4
Automobile,Accessories,TEC-AC-10003709,Maxell 4.7GB DVD-R 5/Pack,United States,West,California,San Francisco,94110,NK-18490,Neil Knudson,12/10/2018,CA-2018-126536,Home Office,14/10/2018,First Class,2018,1,5%,1,0,1,0,0.4356,44%,1,0.99
Stationary,Binders,OFF-BI-10001191,Canvas Sectional Post Binders,United States,West,California,San Francisco,94110,NK-18490,Neil Knudson,12/10/2018,CA-2018-126536,Home Office,14/10/2018,First Class,2018,1,20%,1,0,1,0,36.917,36%,5,101.84
Stationary,Binders,OFF-BI-10003166,GBC Plasticlear Binding Covers,United States,East,Pennsylvania,Philadelphia,19140,PL-18925,Paul Lucas,22/06/2018,CA-2018-165757,Home Office,28/06/2018,Standard Class,2018,1,60%,1,1,1,0.5,-7.5768,-73%,3,10.332
Stationary,Binders,OFF-BI-10003982,Wilson Jones Century Plastic Molded Ring Binders,United States,East,Pennsylvania,Philadelphia,19140,PL-18925,Paul Lucas,22/06/2018,CA-2018-165757,Home Office,28/06/2018,Standard Class,2018,1,60%,1,1,1,0.5,-23.8855,-77%,5,31.155
Stationary,Storage,OFF-ST-10004835,Plastic Stacking Crates & Casters,United States,East,Pennsylvania,Philadelphia,19140,PL-18925,Paul Lucas,22/06/2018,CA-2018-165757,Home Office,28/06/2018,Standard Class,2018,1,20%,1,1,1,0.5,0.6696,8%,2,8.928
Stationary,Appliances,OFF-AP-10000159,Belkin F9M820V08 8 Outlet Surge,United States,East,Pennsylvania,Philadelphia,19134,RW-19690,Robert Waldorf,15/01/2018,CA-2018-167752,Consumer,18/01/2018,First Class,2018,1,20%,1,1,1,0.5,3.8682,11%,1,34.384
Stationary,Appliances,OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,United States,East,Pennsylvania,Philadelphia,19134,RW-19690,Robert Waldorf,15/01/2018,CA-2018-167752,Consumer,18/01/2018,First Class,2018,1,20%,1,1,1,0.5,312.676,16%,8,"1,924.16"
Stationary,Appliances,OFF-AP-10001242,APC 7 Outlet Network SurgeArrest Surge Protector,United States,Central,Texas,Dallas,75220,MO-17950,Michael Oakman,2/04/2016,US-2016-122140,Consumer,7/04/2016,Standard Class,2019,1,80%,1,0,0,0,-80.48,-250%,2,32.192
Automobile,Accessories,TEC-AC-10003038,Kingston Digital DataTraveler 16GB USB 2.0,United States,Central,Texas,Dallas,75220,MO-17950,Michael Oakman,2/04/2016,US-2016-122140,Consumer,7/04/2016,Standard Class,2019,1,20%,1,0,0,0,-0.6265,-1%,7,50.12
Automobile,Accessories,TEC-AC-10003289,Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,United States,Central,Texas,Dallas,75220,MO-17950,Michael Oakman,2/04/2016,US-2016-122140,Consumer,7/04/2016,Standard Class,2019,1,20%,1,0,0,0,1.7991,4%,3,47.976
Stationary,Storage,OFF-ST-10000918,Crate-A-Files,United States,Central,Wisconsin,Waukesha,53186,JJ-15445,Jennifer Jackson,3/09/2017,CA-2017-163986,Consumer,10/09/2017,Standard Class,2020,1,0%,1,0,1,0,14.17,26%,5,54.5
Household goods,Furnishings,FUR-FU-10001940,Staple-based wall hangings,United States,South,Florida,Fort Lauderdale,33311,BT-11680,Brian Thompson,10/12/2018,CA-2018-158967,Consumer,12/12/2018,First Class,2018,1,20%,1,0,1,0,5.7312,30%,3,19.104
Stationary,Binders,OFF-BI-10002852,Ibico Standard Transparent Covers,United States,Central,Michigan,Detroit,48205,RD-19585,Rob Dowd,22/11/2017,CA-2017-131576,Consumer,26/11/2017,Standard Class,2020,1,0%,1,0,1,0,24.2256,49%,3,49.44
Stationary,Paper,OFF-PA-10004451,Xerox 222,United States,East,Ohio,Springfield,45503,ML-17755,Max Ludwig,11/11/2018,CA-2018-143455,Home Office,18/11/2018,Standard Class,2018,1,20%,1,1,1,0.5,3.6288,35%,2,10.368
Stationary,Storage,OFF-ST-10004804,"Belkin 19"" Vented Equipment Shelf, Black",United States,West,California,San Diego,92037,JE-15745,Joel Eaton,21/10/2017,CA-2017-144729,Consumer,25/10/2017,Standard Class,2020,1,0%,1,0,1,0,1.5444,1%,3,154.44
Stationary,Appliances,OFF-AP-10003971,Belkin 6 Outlet Metallic Surge Strip,United States,West,Colorado,Colorado Springs,80906,ER-13855,Elpida Rittenbach,21/12/2016,CA-2016-127019,Corporate,25/12/2016,Standard Class,2019,1,20%,1,0,0,0,4.5738,8%,7,60.984
Household goods,Bookcases,FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",United States,West,California,Bakersfield,93309,JM-15535,Jessica Myrick,17/07/2016,CA-2016-138534,Consumer,19/07/2016,Second Class,2019,1,15%,1,0,1,0,-13.7976,-7%,2,195.466
Household goods,Furnishings,FUR-FU-10001935,3M Hangers With Command Adhesive,United States,South,Florida,Pompano Beach,33068,SS-20140,Saphhira Shifley,30/04/2018,CA-2018-108322,Corporate,5/05/2018,Standard Class,2018,1,20%,1,0,1,0,6.216,26%,8,23.68
Automobile,Accessories,TEC-AC-10003433,Maxell 4.7GB DVD+R 5/Pack,United States,South,Florida,Pompano Beach,33068,SS-20140,Saphhira Shifley,30/04/2018,CA-2018-108322,Corporate,5/05/2018,Standard Class,2018,1,20%,1,0,1,0,0.7425,31%,3,2.376
Stationary,Labels,OFF-LA-10004544,Avery 505,United States,East,New York,New York City,10035,TC-21295,Toby Carlisle,6/05/2018,CA-2018-167668,Consumer,8/05/2018,First Class,2018,1,5%,1,1,1,0.5,29.6,50%,4,59.2
Stationary,Art,OFF-AR-10001026,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",United States,Central,Minnesota,Lakeville,55044,HG-15025,Hunter Glantz,20/11/2018,CA-2018-146724,Consumer,27/11/2018,Standard Class,2018,1,5%,1,0,1,0,9.68,44%,10,22
Automobile,Phones,TEC-PH-10001336,Digium D40 VoIP phone,United States,Central,Michigan,Detroit,48234,LD-17005,Lisa DeCherney,11/11/2017,CA-2017-139878,Consumer,16/11/2017,Standard Class,2020,1,0%,1,0,1,0,74.8142,29%,2,257.98
Automobile,Phones,TEC-PH-10003187,Anker Astro Mini 3000mAh Ultra-Compact Portable Charger,United States,East,Pennsylvania,Philadelphia,19134,AS-10285,Alejandro Savely,5/11/2017,US-2017-106677,Corporate,10/11/2017,Standard Class,2020,1,40%,1,1,1,0.5,-15.992,-67%,2,23.988
